id,numday,numvisit,firstdt,lastdt,homepage,crime,localnews,colbball,sports,colfball,business,usnews,politics,entertain,state,weather,hssports,opinion,realestate,life
7548,1,1,2018-11-19,2018-11-19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7549,17,19,2019-02-11,2019-08-07,0,1,17,0,41,0,0,0,0,0,0,0,0,0,0,0
7550,1,1,2019-06-21,2019-06-21,22,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0
7551,141,750,2019-02-21,2019-08-29,14067,44,519,195,1646,0,31,25,17,26,18,31,0,3,7,283
7552,29,59,2019-02-21,2019-03-28,7,7,1,116,4,0,0,0,0,0,0,0,0,0,0,0
7553,1,1,2019-06-08,2019-06-08,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7554,51,128,2019-05-28,2019-08-30,1125,9,269,1,49,0,30,1,1,18,1,73,0,0,7,352
7555,1,1,2019-06-13,2019-06-13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
7556,34,54,2019-03-08,2019-08-28,236,2,25,4,6,0,0,0,1,3,0,0,1,2,0,5
7557,1,1,2019-07-07,2019-07-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7558,4,4,2019-04-02,2019-06-03,24,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0
7559,1,1,2019-02-08,2019-02-08,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7560,82,318,2019-04-28,2019-07-25,1962,136,530,1,36,0,28,20,11,10,15,19,0,58,2,78
7561,154,243,2019-01-01,2019-08-31,0,0,0,119,1019,4,0,0,0,0,0,0,0,0,0,0
7562,2,5,2019-01-20,2019-01-22,12,0,0,8,27,0,0,0,0,0,0,0,0,0,0,0
7563,20,22,2019-02-01,2019-08-28,0,10,39,0,11,0,0,0,0,0,0,0,0,0,0,29
7564,97,215,2019-05-22,2019-08-31,2784,38,388,124,1571,0,10,21,5,9,13,2,0,30,0,166
7565,5,7,2018-11-29,2018-12-06,5,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2
7566,6,9,2019-03-14,2019-03-21,23,0,3,6,4,0,0,2,0,0,1,1,0,0,2,5
7567,1,1,2019-02-02,2019-02-02,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7568,1,2,2019-04-22,2019-04-22,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
7569,1,1,2019-04-01,2019-04-01,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
7570,1,1,2019-06-16,2019-06-16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7571,1,1,2019-02-05,2019-02-05,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7572,4,10,2019-05-02,2019-05-05,106,17,13,0,0,0,0,5,0,0,1,0,0,0,0,0
7573,1,1,2019-05-29,2019-05-29,18,0,2,0,3,0,0,1,0,1,0,0,0,0,0,1
7574,1,1,2019-03-13,2019-03-13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7575,187,257,2019-01-22,2019-08-31,2294,369,4403,15,285,0,52,118,88,53,153,23,0,636,12,329
7576,1,1,2019-06-24,2019-06-24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7577,1,1,2018-12-14,2018-12-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7578,1,1,2019-01-04,2019-01-04,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7579,4,4,2019-06-02,2019-07-13,9,0,3,0,1,0,0,0,0,1,0,0,0,0,0,2
7580,9,17,2019-06-10,2019-06-19,183,30,135,0,3,0,4,0,1,4,1,0,0,5,4,83
7581,1,1,2019-02-07,2019-02-07,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7582,1,1,2019-04-25,2019-04-25,20,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12
7583,9,14,2019-08-10,2019-08-19,59,1,11,0,1,0,1,0,0,0,1,0,0,0,0,39
7584,2,3,2019-07-26,2019-08-04,28,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
7585,120,167,2019-04-24,2019-08-31,1323,18,892,3,103,0,28,9,16,8,12,1,0,3,3,143
7586,10,30,2019-03-24,2019-04-04,150,7,34,5,16,0,7,4,2,3,6,3,0,1,0,2
7587,2,4,2019-07-11,2019-07-12,35,4,14,0,0,0,0,0,0,1,0,0,0,0,0,6
7588,1,1,2019-01-31,2019-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7589,1,2,2019-04-17,2019-04-17,23,1,7,0,2,0,1,0,1,0,0,0,0,0,0,0
7590,1,1,2019-06-26,2019-06-26,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7591,1,1,2019-06-14,2019-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7592,100,166,2019-02-06,2019-08-31,0,2,34,0,675,0,0,0,0,0,0,0,0,3,0,52
