hhid,ACCOUNT_TYPE,billmonth,contractdt,churn,LINE_COUNT,TOTAL_REV_AMT_MAR07,TOTAL_REV_AMT_APR07,TOTAL_REV_AMT_MAY07,TOTAL_REV_AMT_JUN07,TOTAL_REV_AMT_JUL07,TOTAL_REV_AMT_AUG07,TOTAL_REV_AMT_SEP07,TOTAL_REV_AMT_OCT07,TOTAL_REV_AMT_NOV07,TOTAL_REV_AMT_DEC07,TOTAL_REV_AMT_JAN08,TOTAL_REV_AMT_FEB08,TOTAL_REV_AMT_MAR08,TOTAL_REV_AMT_APR08,TOTAL_REV_AMT_MAY08,t2
53586740,I,FEB 08,07/14/2006,0,2,49.949981689,49.949981689,49.949981689,49.949981689,49.949981689,49.949981689,49.949981689,49.949981689,49.949981689,49.949981689,54.91998291,61.059997559,54.91998291,54.91998291,54.91998291,19
54533161,I,Oct 07,02/26/2006,0,2,80.859985352,39.269989014,33.269989014,33.269989014,34.769989014,33.269989014,33.269989014,68.739990234,36.309997559,34.929992676,34.929992676,34.929992676,34.929992676,34.929992676,34.929992676,20
128904986,I,Oct 07,07/06/2007,0,1,51.849975586,51.849975586,52.149993896,53.349975586,79.869995117,161.79992676,79.069946289,132,65.889953613,65.889953613,65.889953613,65.889953613,65.889953613,65.889953613,77.889953613,3
217406520,I,JAN 08,07/05/2006,0,2,73.949951172,51.449981689,55.949981689,52.949981689,52.949981689,51.449981689,105.98999023,107.0199585,57.589996338,34.989990234,34.989990234,39.469970703,64.389953613,194.42993164,156.15991211,18
254262953,I,FEB 08,12/27/2005,1,0,55.829986572,60.329986572,55.829986572,55.829986572,55.829986572,58.66998291,50.879974365,58.839996338,52.379974365,50.879974365,52.379974365,54.069976807,,,,26
127120653,B,Dec 07,10/22/2007,0,4,15.799995422,29,15,15,15,42.599975586,15,37.389984131,30,30,30,34.579986572,32.5,30,30,2
53597041,I,Dec 07,11/26/2005,1,1,53.259979248,50.259979248,49.259979248,53.259979248,50.91998291,50.91998291,50.91998291,52.41998291,51.719970703,,,,161.97998047,75.889953613,76.639953613,25
128683887,I,Oct 07,06/25/2004,1,0,20.439987183,20.439987183,20.439987183,20.439987183,20.439987183,20.439987183,20.439987183,20.439987183,,,33.75,22.5,22.5,22.5,22.5,40
175298126,I,FEB 08,01/07/2007,1,2,37.539978027,27.269989014,41.909973145,32.439971924,39.179992676,43.789978027,38.389984131,38.389984131,39.079986572,52.339996338,39.25,,,35.019989014,30.009994507,13
128915115,I,May 08,04/26/2006,1,0,64.75994873,56.5,71.079956055,54.639984131,57.759979248,115.82995605,62.389984131,60.889984131,60.889984131,60.889984131,60.889984131,60.889984131,60.889984131,60.889984131,60.889984131,25
128923536,I,May 08,05/17/2008,0,1,56.269989014,55.829986572,66.969970703,44.219970703,41.619995117,43.119995117,71.689941406,68.829956055,64.16998291,67.329956055,65.829956055,65.829956055,65.829956055,65.829956055,70.799987793,0
224137203,I,Aug 07,11/16/2006,1,0,69.699951172,70.299987793,71.729980469,69.699951172,94.599975586,80.049987793,69.199951172,66.699951172,66.00994873,50.699981689,73.699951172,48.959991455,46.689971924,58.689971924,160.12988281,9
39063290,I,Jun 07,07/01/2004,1,1,73.359985352,39.539978027,45.539978027,,,,,,,,,,,,,35
